ip,honeypot_type,count
111.40.115.43,"Cowrie",2,
52.249.250.57,"Rdpy",3,
218.94.34.54,"Rdpy",2,
167.248.133.39,"Honeytrap",1,
68.183.24.170,"Honeytrap",1,
167.172.240.111,"Honeytrap",1,
201.187.68.122,"Adbhoney",2,
61.72.255.26,"Honeytrap",1,
116.132.42.170,"Honeytrap",1,
143.198.56.27,"Honeytrap",1,
192.241.202.87,"Honeytrap",1,
194.62.6.235,"Cowrie",2,
91.250.13.36,"Adbhoney",2,
72.214.101.195,"Cowrie",19,
162.142.125.40,"Honeytrap",4,
34.77.162.32,"Dionaea",1,
162.142.125.53,"Honeytrap",1,
23.129.64.251,"Honeytrap",1,
82.156.7.74,"Honeytrap",1,
46.216.17.116,"Adbhoney",2,
192.144.235.195,"Honeytrap",1,
46.102.42.65,"Honeytrap",11,
187.210.140.194,"Dionaea",12,
39.105.58.96,"Honeytrap",1,
89.248.174.3,"Honeytrap",1,
209.141.37.151,"Honeytrap",1,
103.75.161.30,"Honeytrap",1,
206.189.86.128,"Honeytrap",1,
95.179.229.195,"Rdpy",3,
58.179.134.126,"Rdpy",1,
167.99.128.242,"Honeytrap",1,
104.140.188.58,"Honeytrap",1,
80.82.77.33,"Honeytrap",2,
120.77.241.30,"Honeytrap",1,
205.185.117.46,"Honeytrap",1,
202.113.189.122,"Honeytrap Dionaea",2,
117.50.6.160,"Honeytrap",1,
192.241.198.157,"Honeytrap",1,
